time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-08T18:48:24.190Z,38.7971649,-122.7656631,1.09,0.44,md,8,169,0.01784,0.04,nc,nc73027436,2018-06-08T18:50:01.358Z,"2km NNW of The Geysers, CA",earthquake,0.43,0.69,0.06,2,automatic,nc,nc
2018-06-08T18:39:09.230Z,19.4330006,-155.4225006,4.14,2.39,ml,8,147,0.06905,0.1,hv,hv70249412,2018-06-08T18:44:52.170Z,"19km W of Volcano, Hawaii",earthquake,0.7,2.94,0.3,6,automatic,hv,hv
2018-06-08T18:36:47.894Z,60.0183,-139.917,17.9,1.5,ml,,,,0.55,ak,ak19732583,2018-06-08T18:43:31.605Z,"53km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-06-08T18:34:04.040Z,37.9921684,-122.4541702,1.95,1.44,md,9,150,0.01893,0.11,nc,nc73027426,2018-06-08T18:49:01.197Z,"6km E of Santa Venetia, CA",earthquake,0.6,0.49,0.14,6,automatic,nc,nc
2018-06-08T18:31:51.070Z,33.7896667,-116.7056667,21.56,1.04,ml,20,81,0.04388,0.39,ci,ci38193768,2018-06-08T18:35:35.284Z,"6km NNE of Idyllwild, CA",earthquake,0.99,1.52,0.372,17,automatic,ci,ci
2018-06-08T18:26:47.260Z,37.438,-116.8658,0,0.9,ml,23,206.47,0.321,0.95,nn,nn00638832,2018-06-08T18:28:33.682Z,"44km SE of Goldfield, Nevada",earthquake,,37.1,,,automatic,nn,nn
2018-06-08T18:26:27.270Z,11.2159,138.7722,48.13,4.7,mb,,38,6.405,0.84,us,us1000elh6,2018-06-08T18:41:13.040Z,"188km NNE of Rumung, Micronesia",earthquake,7.7,6.1,0.05,122,reviewed,us,us
2018-06-08T18:23:02.230Z,19.3948326,-155.2693329,-0.9,1.89,ml,6,215,0.004103,0.06,hv,hv70249357,2018-06-08T18:28:40.580Z,"5km SW of Volcano, Hawaii",earthquake,0.48,0.22,0.16,3,automatic,hv,hv
2018-06-08T18:21:18.690Z,37.3035,-116.3928,7.2,0.6,ml,17,291.77,0.34,0.2,nn,nn00638829,2018-06-08T18:22:53.022Z,"54km NE of Beatty, Nevada",earthquake,,2.4,,,automatic,nn,nn
2018-06-08T18:20:46.060Z,19.4093342,-155.2753296,1.45,1.81,md,17,62,0.01171,0.24,hv,hv70249352,2018-06-08T18:23:46.640Z,"4km WSW of Volcano, Hawaii",earthquake,0.46,0.36,0.38,10,automatic,hv,hv
2018-06-08T18:15:19.630Z,19.4003334,-155.2570038,-0.39,1.78,ml,15,113,0.008772,0.13,hv,hv70249327,2018-06-08T18:21:00.040Z,"3km SSW of Volcano, Hawaii",earthquake,0.19,0.33,0.4,11,automatic,hv,hv
2018-06-08T18:15:15.630Z,38.8429985,-122.8386688,1.39,1.23,md,13,106,0.005056,0.02,nc,nc73027416,2018-06-08T18:39:03.143Z,"10km NW of The Geysers, CA",earthquake,0.32,0.42,0.08,4,automatic,nc,nc
2018-06-08T18:12:13.110Z,19.4168339,-155.2734985,-0.39,1.79,md,17,53,0.008776,0.18,hv,hv70249312,2018-06-08T18:17:53.850Z,"4km WSW of Volcano, Hawaii",earthquake,0.14,0.21,0.1,10,automatic,hv,hv
2018-06-08T18:02:40.480Z,19.4116669,-155.2765045,0.59,1.72,md,18,58,0.009323,0.22,hv,hv70249267,2018-06-08T18:05:43.580Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.39,0.28,15,automatic,hv,hv
2018-06-08T18:02:02.970Z,19.4148331,-155.284668,-0.51,1.83,ml,7,130,0.002865,0.14,hv,hv70249262,2018-06-08T18:07:49.990Z,"5km WSW of Volcano, Hawaii",earthquake,0.61,0.75,0.22,8,automatic,hv,hv
2018-06-08T17:58:27.630Z,19.4071674,-155.2631683,0.66,2.31,ml,25,63,0.005797,0.28,hv,hv70249257,2018-06-08T18:04:08.380Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.25,0.37,13,automatic,hv,hv
2018-06-08T17:56:11.763Z,60.1763,-151.8436,32.5,1.2,ml,,,,0.76,ak,ak19732050,2018-06-08T18:02:46.126Z,"36km SW of Cohoe, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-06-08T17:56:01.920Z,37.6586667,-118.8335,3.22,0.64,md,15,141,0.02076,0.04,nc,nc73027411,2018-06-08T18:20:37.391Z,"13km E of Mammoth Lakes, CA",earthquake,0.45,0.57,0.158,13,reviewed,nc,nc
2018-06-08T17:54:25.200Z,34.4136667,-116.484,12.34,1.57,ml,37,67,0.1165,0.17,ci,ci38193744,2018-06-08T18:56:41.650Z,"34km N of Yucca Valley, CA",earthquake,0.26,0.62,0.168,27,reviewed,ci,ci
2018-06-08T17:54:07.500Z,19.423666,-155.2826691,0.41,2.28,ml,8,129,0.004923,0.24,hv,hv70249242,2018-06-08T17:59:48.120Z,"4km W of Volcano, Hawaii",earthquake,0.69,0.29,4.7,4,automatic,hv,hv
2018-06-08T17:50:21.470Z,19.4173336,-155.2725067,0.9,2.22,ml,26,41,0.008805,0.08,hv,hv70249237,2018-06-08T17:56:02.420Z,"3km WSW of Volcano, Hawaii",earthquake,0.27,0.19,0.26,12,automatic,hv,hv
2018-06-08T17:48:18.990Z,39.2838326,-123.2251663,1.3,1.7,md,8,171,0.09776,0.06,nc,nc73027406,2018-06-08T18:33:01.103Z,"3km NW of Redwood Valley, CA",earthquake,0.41,3.08,0.14,7,automatic,nc,nc
2018-06-08T17:47:29.110Z,19.4208336,-155.2749939,0.34,1.84,ml,14,79,0.004607,0.11,hv,hv70249227,2018-06-08T17:53:12.430Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.18,0.3,8,automatic,hv,hv
2018-06-08T17:37:06.988Z,62.7024,-149.0084,11.8,1.3,ml,,,,0.53,ak,ak19732047,2018-06-08T17:44:27.792Z,"70km NE of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-08T17:35:11.340Z,19.4041672,-155.2628326,0.55,2.3,ml,20,78,0.006623,0.17,hv,hv70249187,2018-06-08T17:40:51.720Z,"3km SW of Volcano, Hawaii",earthquake,0.25,0.17,0.37,10,automatic,hv,hv
2018-06-08T17:29:51.784Z,36.6919,-115.7922,0,0,ml,13,259.55,0.14,0.1458,nn,nn00638822,2018-06-08T18:51:28.084Z,"56km NNE of Pahrump, Nevada",earthquake,,0,0.2,4,reviewed,nn,nn
2018-06-08T17:26:04.310Z,36.4824,71.1729,236.5,4.2,mb,,79,0.801,1.3,us,us1000elgr,2018-06-08T18:22:45.040Z,"39km SW of Ashkasham, Afghanistan",earthquake,5.8,5.9,0.076,48,reviewed,us,us
2018-06-08T17:23:52.770Z,39.2796669,-123.2328339,3.29,3.89,mw,37,64,0.09088,0.14,nc,nc73027396,2018-06-08T18:49:34.308Z,"3km WNW of Redwood Valley, CA",earthquake,0.24,0.85,,4,reviewed,nc,nc
2018-06-08T17:22:05.250Z,19.3968334,-154.9608307,-0.27,2.5,ml,20,257,0.05508,0.26,hv,hv70249142,2018-06-08T17:27:46.510Z,"9km SSW of Leilani Estates, Hawaii",earthquake,0.98,0.34,0.25,3,automatic,hv,hv
2018-06-08T17:18:18.000Z,37.6596667,-118.84,2.5,1.16,md,21,108,0.02192,0.06,nc,nc73027391,2018-06-08T18:28:03.076Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.33,0.39,0.362,18,reviewed,nc,nc
2018-06-08T17:17:15.900Z,19.4050007,-155.2700043,0.6,2.12,ml,27,53,0.007698,0.16,hv,hv70249132,2018-06-08T17:23:03.440Z,"4km SW of Volcano, Hawaii",earthquake,0.24,0.17,0.32,12,automatic,hv,hv
2018-06-08T17:11:51.300Z,19.4243336,-155.2671661,-0.56,1.8,ml,19,113,0.002773,0.29,hv,hv70249112,2018-06-08T17:17:31.940Z,"3km WSW of Volcano, Hawaii",earthquake,0.25,0.18,0.24,8,automatic,hv,hv
2018-06-08T17:09:46.720Z,33.2516667,-116.8266667,12.82,0.79,ml,22,68,0.05902,0.14,ci,ci38193720,2018-06-08T18:55:23.759Z,"6km W of Lake Henshaw, CA",earthquake,0.27,0.58,0.083,16,reviewed,ci,ci
2018-06-08T17:09:35.370Z,48.8251667,-123.207,58.21,3.19,ml,26,47,0.05511,0.19,uw,uw61383502,2018-06-08T18:57:00.788Z,"20km SSW of Point Roberts, Washington",earthquake,0.46,0.8,0.137,18,reviewed,uw,uw
2018-06-08T16:59:01.914Z,60.295,-151.8316,60.7,2.3,ml,,,,0.51,ak,ak19732038,2018-06-08T17:13:34.204Z,"30km WSW of Cohoe, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-06-08T16:57:18.350Z,19.4123325,-155.2726593,1.41,1.72,md,15,74,0.01203,0.14,hv,hv70249077,2018-06-08T17:03:01.950Z,"4km WSW of Volcano, Hawaii",earthquake,0.3,0.52,0.16,10,automatic,hv,hv
2018-06-08T16:54:32.031Z,66.5044,-155.7488,0,2,ml,,,,0.6,ak,ak19732032,2018-06-08T17:01:06.759Z,"67km SE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-08T16:54:20.050Z,19.3938332,-155.2793274,3.01,1.75,ml,14,71,0.005579,0.34,hv,hv70249067,2018-06-08T16:59:57.990Z,"5km SW of Volcano, Hawaii",earthquake,0.84,1.17,0.28,3,automatic,hv,hv
2018-06-08T16:51:32.242Z,59.6775,-136.559,0,1.6,ml,,,,0.88,ak,ak19732029,2018-06-08T16:56:34.463Z,"74km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-06-08T16:44:30.902Z,61.6207,-149.975,38.3,1.4,ml,,,,0.68,ak,ak19732025,2018-06-08T16:51:31.388Z,"8km W of Houston, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-06-08T16:38:10.080Z,19.3941669,-155.2649994,0.27,1.82,ml,22,79,0.004169,0.16,hv,hv70249017,2018-06-08T16:43:51.720Z,"4km SW of Volcano, Hawaii",earthquake,0.18,0.19,0.21,10,automatic,hv,hv
2018-06-08T16:34:53.410Z,37.5806667,-118.7951667,5.2,0.58,md,8,329,0.06605,0.04,nc,nc73027381,2018-06-08T18:03:05.067Z,"10km WNW of Toms Place, CA",earthquake,1.66,0.74,0.103,8,reviewed,nc,nc
2018-06-08T16:32:39.960Z,19.3991661,-155.284668,0.36,1.9,ml,19,56,0.01107,0.17,hv,hv70248997,2018-06-08T16:38:21.160Z,"6km SW of Volcano, Hawaii",earthquake,0.24,0.28,0.27,10,automatic,hv,hv
2018-06-08T16:32:01.930Z,19.3955002,-155.2709961,0.56,1.77,ml,7,127,0.002502,0.08,hv,hv70248992,2018-06-08T16:37:44.490Z,"5km SW of Volcano, Hawaii",earthquake,0.31,0.57,0.47,9,automatic,hv,hv
2018-06-08T16:27:47.740Z,19.4174995,-155.2534943,0.51,1.71,ml,9,167,0.00808,0.13,hv,hv70248977,2018-06-08T16:33:28.110Z,"2km SW of Volcano, Hawaii",earthquake,0.28,0.24,0.2,3,automatic,hv,hv
2018-06-08T16:22:47.830Z,19.4023342,-155.2624969,0.37,1.8,md,12,90,0.005264,0.18,hv,hv70248952,2018-06-08T16:25:38.550Z,"4km SW of Volcano, Hawaii",earthquake,0.26,0.4,0.06,5,automatic,hv,hv
2018-06-08T16:15:42.630Z,19.4185009,-155.276001,-0.96,2.55,ml,41,40,0.006403,0.28,hv,hv70248942,2018-06-08T16:21:21.520Z,"4km WSW of Volcano, Hawaii",earthquake,0.15,0.15,2.72,24,automatic,hv,hv
2018-06-08T16:13:46.500Z,19.3998337,-155.2651672,1.32,1.75,ml,10,131,0.001781,0.2,hv,hv70248937,2018-06-08T16:19:26.300Z,"4km SW of Volcano, Hawaii",earthquake,0.54,0.55,0.28,9,automatic,hv,hv
2018-06-08T16:11:11.510Z,33.4925,-116.7903333,3.85,0.93,ml,36,36,0.08514,0.21,ci,ci38193688,2018-06-08T18:56:46.390Z,"9km NE of Aguanga, CA",earthquake,0.22,0.67,0.11,26,reviewed,ci,ci
2018-06-08T16:06:55.890Z,46.7886667,-118.8716667,-0.27,1.68,ml,8,200,0.2309,0.15,uw,uw61383487,2018-06-08T18:08:04.010Z,"13km N of Connell, Washington",explosion,1.58,31.61,0.305,6,reviewed,uw,uw
2018-06-08T16:03:50.223Z,61.045,-152.1777,106.3,2.1,ml,,,,0.54,ak,ak19731490,2018-06-08T16:08:42.571Z,"62km NW of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-06-08T15:51:07.560Z,19.4106674,-155.2695007,1.14,2.34,ml,20,48,0.009192,0.36,hv,hv70248867,2018-06-08T15:56:49.490Z,"4km SW of Volcano, Hawaii",earthquake,0.34,0.31,0.4,12,automatic,hv,hv
2018-06-08T15:50:29.280Z,19.4256668,-155.2781677,0.24,2.45,ml,11,78,0.001058,0.21,hv,hv70248862,2018-06-08T15:56:07.280Z,"4km W of Volcano, Hawaii",earthquake,0.35,0.21,0.4,14,automatic,hv,hv
2018-06-08T15:39:02.700Z,19.3846664,-155.2706604,2.23,1.73,ml,13,128,0.0106,0.28,hv,hv70248822,2018-06-08T15:44:42.780Z,"6km SW of Volcano, Hawaii",earthquake,0.79,0.96,0.18,6,automatic,hv,hv
2018-06-08T15:36:31.420Z,19.3740005,-155.2656708,-1.09,1.96,ml,8,131,0.01962,0.33,hv,hv70248807,2018-06-08T15:42:14.080Z,"6km SSW of Volcano, Hawaii",earthquake,0.84,0.67,0.13,4,automatic,hv,hv
2018-06-08T15:34:59.820Z,19.4055004,-155.2636719,0.49,1.73,ml,17,78,0.007467,0.15,hv,hv70248802,2018-06-08T15:40:41.880Z,"3km SW of Volcano, Hawaii",earthquake,0.24,0.36,0.22,10,automatic,hv,hv
2018-06-08T15:12:55.830Z,19.4228325,-155.2393341,0.47,1.82,ml,22,145,0.02039,0.18,hv,hv70248712,2018-06-08T15:18:36.730Z,"0km S of Volcano, Hawaii",earthquake,0.28,0.42,0.52,13,automatic,hv,hv
2018-06-08T15:03:19.884Z,67.0649,-146.2786,11.3,1,ml,,,,0.77,ak,ak19731482,2018-06-08T15:17:37.828Z,"71km NW of Fort Yukon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-06-08T14:58:53.036Z,37.3351,-114.6353,3.9,1.4,ml,14,98.88,0.338,0.1631,nn,nn00638796,2018-06-08T18:36:02.147Z,"32km SSW of Caliente, Nevada",earthquake,,1.8,0.3,8,reviewed,nn,nn
2018-06-08T14:57:12.250Z,33.0356667,-116.4543333,7.9,1.24,ml,37,58,0.1285,0.24,ci,ci38193656,2018-06-08T15:07:55.800Z,"15km ESE of Julian, CA",earthquake,0.33,1.3,0.177,27,automatic,ci,ci
2018-06-08T14:46:19.420Z,37.6538333,-118.8226667,0.94,0.25,md,9,172,0.019,0.04,nc,nc73027366,2018-06-08T18:15:03.016Z,"14km E of Mammoth Lakes, CA",earthquake,0.71,0.51,0.134,8,reviewed,nc,nc
2018-06-08T14:42:21.470Z,19.3948326,-155.2644958,0.18,2.05,ml,9,135,0.003689,0.09,hv,hv70248627,2018-06-08T14:48:02.410Z,"4km SW of Volcano, Hawaii",earthquake,0.18,0.29,0.42,10,automatic,hv,hv
2018-06-08T14:38:00.550Z,19.4130001,-155.2771606,0.03,1.84,ml,19,56,0.008023,0.12,hv,hv70248612,2018-06-08T14:43:40.050Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.24,0.35,10,automatic,hv,hv
2018-06-08T14:34:37.510Z,19.4213333,-155.2734985,0.6,2.55,ml,38,42,0.005145,0.25,hv,hv70248607,2018-06-08T14:40:17.290Z,"3km WSW of Volcano, Hawaii",earthquake,0.31,0.22,0.35,18,automatic,hv,hv
